CURSOS,INNOVACION COCINA INTERNACIONAL,ELAB BEBIDAS ALCOHOLICAS,ARTES VISUALES,LENGUAJE,RECEPECIÓN Y ALMACENAMIENTO,INGLES,BIOLOGIA,EXPRESION MUSICAL P,PREP MONTAJE BUFFET,EXPRESION LITERARIA,INNOVACION PASTERERIA Y,SIST OPERATIVOS REDES,PLANIF DE LA PRODUCCIÓN,ACTIVIDADES EDUCATIVAS,INST MANT BAS TERM INFORM,EMPRENDIMIENTO,RECREACION Y BIENESTAR DE,QUIMICA,ELABORACION DE MENU,OPER Y FUND TELECO,ED. FISICA,MANT CIRC ELECTRONICOS,COMUNIC INALAMBRICAS,FISICA,RELIGION,COCINA CHILENA,HIGIENE,ELAB PROD REPOSTERIA,HISTORIA,ELAB BAJA COMPLEJIDAD,SERVICIO COMEDOR,ELAB PASTAS Y MASAS,INST REDES TELEF CONVE,ED. TECNOLOGICA,MATEMATICAS,ELAB PROD PASTELERIA,SALUD EN PARVULO,INST CONFIG REDES,RELACION C/FAMILIA,MATERIAL DIDACTICO,MANT REDES ACCES BANDA,HIGIENE Y SEGURIDAD,TIC´S,DISEÑO Y PROGRAMACION,ALIMENTACION PARVULO,INST SERV BASICO TELCO,ACONDICIMIENTO FISICO
1A,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1C,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1E,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2A,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2B,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2C,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2D,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,2,0,0,0,2
2E,0,0,2,10,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,0,0,0,0,2,10,0,0,0,0,0,0,0,2,0,0,0,2
3A,0,0,0,5,2,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,6,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2
3B,0,0,0,5,2,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,6,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2
3C,0,0,0,5,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,2,0,0,0,4,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,4,2
3D,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,5,0,4,0,2,6,0,0,2,0,0,0,2
3E,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,5,0,4,0,2,6,0,0,2,0,0,0,2
4A,6,3,0,5,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,6,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2
4B,0,0,0,5,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,6,0,0,5,6,0,0,0,0,0,0,2,0,0,0,2
4C,0,0,0,5,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,5,0,2,0,0,0,2
4D,0,0,0,5,0,2,0,0,0,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,4,2,0,3,0,2
4E,0,0,0,5,0,2,0,0,0,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,4,2,0,3,0,2
